rep,N,alpha,m0_target,m0_realized,z_init,tau_z,m_final,m_other_max,r_active,r_z,t_final,converged,closed_frac,time_since_last_switch,m_ungated,r_ungated,ungated_converged,t_ungated
0,1000,0.1,0.5,0.4999999701976776,all_open,30.0,0.9883463382720948,0.0937198624014854,1.3226804463750603e-06,0.0003833036171272,246.99999999999025,1.0,0.509,50.79999999999711,0.9883503317832948,1.8346083834330784e-06,1.0,31.0
0,1000,0.1,0.5,0.4999999701976776,all_open,100.0,0.98834890127182,0.0937180146574974,1.4390367880126984e-06,0.0012727386783808,703.0000000000913,1.0,0.509,50.40000000001146,0.9883503317832948,1.8346083834330784e-06,1.0,31.0
0,1000,0.1,0.5,0.4999999701976776,all_open,300.0,0.9883501529693604,0.0937179699540138,1.613093216497542e-06,0.0017838977510109,2007.9999999992688,1.0,0.509,50.099999999954434,0.9883503317832948,1.8346083834330784e-06,1.0,31.0
0,1000,0.1,0.699999988079071,0.699999988079071,random,0.1000000014901161,0.8843533396720886,0.0790630131959915,1.2653143159476066e-06,6.296837540276101e-08,66.00000000000053,1.0,0.512,50.300000000000566,0.9883503317832948,2.01798002308351e-06,1.0,31.0
0,1000,0.1,0.699999988079071,0.699999988079071,random,0.3000000119209289,0.8973418474197388,0.083213597536087,1.290462326610837e-06,1.3137460541656765e-07,62.00000000000061,1.0,0.508,50.20000000000064,0.9883503317832948,2.01798002308351e-06,1.0,31.0
0,1000,0.1,0.699999988079071,0.699999988079071,random,1.0,0.9121242165565492,0.0825425535440445,1.381594967982923e-06,4.574727654471644e-07,58.00000000000056,1.0,0.504,50.40000000000057,0.9883503317832948,2.01798002308351e-06,1.0,31.0
0,1000,0.1,0.699999988079071,0.699999988079071,random,3.0,0.9166907668113708,0.0837056264281272,1.3160581007728073e-06,1.456252562093141e-06,73.00000000000013,1.0,0.505,50.50000000000008,0.9883503317832948,2.01798002308351e-06,1.0,31.0
0,1000,0.1,0.699999988079071,0.699999988079071,random,10.0,0.9172359704971312,0.084964245557785,1.247504717946348e-06,5.441066150524421e-06,164.9999999999949,1.0,0.505,50.79999999999713,0.9883503317832948,2.01798002308351e-06,1.0,31.0
0,1000,0.1,0.699999988079071,0.699999988079071,random,30.0,0.9158520698547364,0.0871651768684387,1.2333790862937015e-06,0.0009058997384272,316.0000000000033,1.0,0.509,50.20000000001141,0.9883503317832948,2.01798002308351e-06,1.0,31.0
0,1000,0.1,0.699999988079071,0.699999988079071,random,100.0,0.9151767492294312,0.0885912925004959,1.695982246792818e-06,0.0019970424473285,846.0000000001238,1.0,0.513,107.3000000000244,0.9883503317832948,2.01798002308351e-06,1.0,31.0
0,1000,0.1,0.699999988079071,0.699999988079071,random,300.0,0.9153129458427428,0.0886621549725532,1.621434149543508e-06,0.0019979875069111,2599.999999998731,1.0,0.513,190.4999999998268,0.9883503317832948,2.01798002308351e-06,1.0,31.0
0,1000,0.1,0.699999988079071,0.699999988079071,all_open,0.1000000014901161,0.916185736656189,0.0858131572604179,1.2912308857022262e-06,6.171481459205097e-08,56.000000000000526,1.0,0.511,50.30000000000053,0.9883503317832948,2.01798002308351e-06,1.0,31.0
0,1000,0.1,0.699999988079071,0.699999988079071,all_open,0.3000000119209289,0.9581537842750548,0.0891121625900268,1.4057478039411618e-06,1.3412723376404756e-07,59.00000000000057,1.0,0.509,50.60000000000058,0.9883503317832948,2.01798002308351e-06,1.0,31.0
0,1000,0.1,0.699999988079071,0.699999988079071,all_open,1.0,0.9876553416252136,0.0889225676655769,1.383690813208701e-06,5.052286269346951e-07,57.00000000000054,1.0,0.511,50.60000000000055,0.9883503317832948,2.01798002308351e-06,1.0,31.0
0,1000,0.1,0.699999988079071,0.699999988079071,all_open,3.0,0.9908420443534852,0.0908854976296424,1.393290258770256e-06,1.565165462125151e-06,64.00000000000064,1.0,0.509,50.30000000000067,0.9883503317832948,2.01798002308351e-06,1.0,31.0
0,1000,0.1,0.699999988079071,0.699999988079071,all_open,10.0,0.9887680411338806,0.0933552831411361,1.43529819342564e-06,1.0462461432325654e-05,118.99999999999751,1.0,0.51,50.89999999999711,0.9883503317832948,2.01798002308351e-06,1.0,31.0
0,1000,0.1,0.699999988079071,0.699999988079071,all_open,30.0,0.9883539080619812,0.093714602291584,1.317882356696303e-06,0.0003958823217544,245.9999999999903,1.0,0.509,50.9999999999971,0.9883503317832948,2.01798002308351e-06,1.0,31.0
0,1000,0.1,0.699999988079071,0.699999988079071,all_open,100.0,0.98834890127182,0.0937180072069168,1.413710974077004e-06,0.0012720325030386,703.0000000000913,1.0,0.509,50.60000000001151,0.9883503317832948,2.01798002308351e-06,1.0,31.0
0,1000,0.1,0.699999988079071,0.699999988079071,all_open,300.0,0.9883501529693604,0.0937179625034332,1.6536380056119176e-06,0.001783576211892,2007.9999999992688,1.0,0.509,50.29999999995425,0.9883503317832948,2.01798002308351e-06,1.0,31.0
0,1000,0.1,0.8999999761581421,0.8999998569488525,random,0.1000000014901161,0.9594472050666808,0.0853765234351158,1.3310638120471629e-06,7.113911237865977e-08,58.00000000000056,1.0,0.518,50.70000000000056,0.9883503913879396,2.349311444049817e-06,1.0,31.0
