alpha,m0_target,z_init,tau_z,m_mean,m_ci_low,m_ci_high,count,converged_fraction,median_r_active,median_r_z,max_t_final
0.2,0.8999999761581421,all_open,3.0,0.8757837116718292,0.8495301879942417,0.9044103771448135,8,1.0,2.0945546205837827e-06,2.7823328991871676e-06,217.9999999999919
0.2,0.8999999761581421,all_open,10.0,0.7452443018555641,0.7071283046156168,0.7823572158813477,8,1.0,1.2104785855945017e-06,1.1336911484249867e-05,209.99999999999235
0.2,0.8999999761581421,all_open,30.0,0.4977087303996086,0.45446738600730896,0.5349558556452393,8,1.0,1.1264614464581644e-06,0.00130222027655685,259.9999999999906
0.2,0.8999999761581421,all_open,100.0,0.31884084455668926,0.2930695954710245,0.341532170586288,8,1.0,1.0980084752838207e-06,0.001987729454413,705.0000000000917
0.2,0.8999999761581421,all_open,300.0,0.26693691313266754,0.22765464661642903,0.30646498710848386,8,1.0,1.2917441036682542e-06,0.0019974957685917,2018.9999999992592
0.2,0.8999999761581421,random,0.1000000014901161,0.8976670503616333,0.8774576261639595,0.916353203356266,8,1.0,2.148420673891994e-06,1.4171087059366982e-07,191.9999999999933
0.2,0.8999999761581421,random,0.3000000119209289,0.895828053355217,0.8748162850737572,0.9149126708507538,8,1.0,2.076093607218202e-06,2.472905364925282e-07,224.9999999999915
0.2,0.8999999761581421,random,1.0,0.9087831601500511,0.8947305357083678,0.9216379271820188,8,1.0,5.46006264367029e-06,2.317703064136367e-06,138.9999999999964
0.2,0.8999999761581421,random,3.0,0.897514820098877,0.87818244677037,0.914359912276268,8,1.0,1.9434982197055036e-06,2.4899154595914297e-06,257.99999999999017
0.2,0.8999999761581421,random,10.0,0.8851122632622719,0.8629400134086609,0.9041560757905245,8,1.0,5.81122167116556e-06,6.671521259704605e-05,340.0000000000088
0.2,0.8999999761581421,random,30.0,0.8734038323163986,0.8498871326446533,0.8938629552721977,8,1.0,9.650920267688516e-07,0.00024016986571945,380.0000000000179
0.2,0.8999999761581421,random,100.0,0.8462125211954117,0.8144013749435544,0.8780271261930466,8,1.0,8.358794221936834e-07,0.0019861422479152003,1257.9999999999511
0.2,0.8999999761581421,random,300.0,0.8382547199726105,0.805773638188839,0.8706236556172371,8,1.0,1.14357558945631e-06,0.0019957477925345,4327.999999998214
0.3,0.5,all_open,0.1000000014901161,0.6136335656046867,0.5932580083608627,0.6324595287442207,8,1.0,1.2716872801363963e-05,8.25310223717679e-07,353.00000000001177
0.3,0.5,all_open,0.3000000119209289,0.6477205380797386,0.6279552429914474,0.6685243502259255,8,1.0,8.39188963275945e-06,1.150581965703168e-06,590.0000000000656
0.3,0.5,all_open,1.0,0.6815720722079277,0.6590749844908714,0.7001854930073023,8,1.0,3.8110641527726594e-06,1.715406682478715e-06,240.9999999999906
0.3,0.5,all_open,3.0,0.6344312950968742,0.6060076057910919,0.6614157110452652,8,1.0,5.207781792178883e-06,7.245309006975731e-06,231.9999999999911
0.3,0.5,all_open,10.0,0.5141064636409283,0.4902747618965805,0.5381201654672623,8,1.0,1.6066332074763225e-06,2.4382307628911803e-05,429.00000000002905
0.3,0.5,all_open,30.0,0.36339840665459633,0.33168065939098595,0.3992607668042183,8,1.0,1.137346501913114e-06,0.00124830956337965,273.9999999999938
0.3,0.5,all_open,100.0,0.2706250213086605,0.22191840512678027,0.31600942276418204,8,1.0,1.1557043791033864e-06,0.00198188889771695,711.0000000000931
0.3,0.5,all_open,300.0,0.2542489767074585,0.21056970953941342,0.29287686571478844,8,1.0,9.553562378864714e-07,0.0019970618886873,1988.9999999992865
0.3,0.5,random,0.1000000014901161,0.5669970586895943,0.5452147424221039,0.5879258943721652,8,1.0,8.98735304071066e-06,6.105077261508995e-07,274.99999999999403
0.3,0.5,random,0.3000000119209289,0.5814475864171982,0.5583826994523406,0.6065521687269211,8,1.0,1.9292018786819754e-05,2.563425255175389e-06,363.0000000000141
0.3,0.5,random,1.0,0.6001603230834007,0.5816576108336449,0.6195907518267632,8,1.0,2.6600555127373177e-05,1.1689030088746222e-05,352.00000000001154
0.3,0.5,random,3.0,0.5649349689483643,0.54949801415205,0.580353669822216,8,1.0,4.895219034718287e-06,7.727435104243341e-06,391.0000000000204
0.3,0.5,random,10.0,0.5328368693590164,0.5146390125155449,0.5529183560982347,8,1.0,4.432777744409543e-06,7.224269211292267e-05,455.00000000003496
0.3,0.5,random,30.0,0.49832385405898094,0.46861071307212115,0.5283208824694157,8,1.0,1.4395797472883398e-06,0.00067109451629215,980.0000000001544
0.3,0.5,random,100.0,0.4703598953783512,0.4506092593073845,0.492699071764946,8,1.0,8.891038467338499e-07,0.0019896340090781,1724.9999999995266
0.3,0.5,random,300.0,0.4551437757909298,0.43082715198397636,0.48094452917575836,8,1.0,1.1686527908307606e-06,0.00199625664390615,3757.9999999976776
0.3,0.699999988079071,all_open,0.1000000014901161,0.7199916988611221,0.6994986701756716,0.7400232803076505,8,1.0,1.0684627423398445e-05,6.505628107333905e-07,239.99999999999065
0.3,0.699999988079071,all_open,0.3000000119209289,0.7501610368490219,0.7276585176587105,0.772022956982255,8,1.0,8.744697228989292e-06,1.2113412992675876e-06,259.9999999999906
0.3,0.699999988079071,all_open,1.0,0.7701463773846626,0.7451250975951552,0.7954821884632111,8,1.0,8.517547172447024e-06,3.906597385139321e-06,311.0000000000022
0.3,0.699999988079071,all_open,3.0,0.7138489112257957,0.6762211564928293,0.7493637422099708,8,1.0,2.4303733845271226e-05,3.398746775928885e-05,382.0000000000184
0.3,0.699999988079071,all_open,10.0,0.577675387263298,0.5528641939163208,0.5973928414285183,8,1.0,1.4936418305973165e-06,2.245802534162067e-05,328.0000000000061
0.3,0.699999988079071,all_open,30.0,0.4114900454878807,0.3843972947448492,0.43985515832901,8,1.0,1.0711199960967713e-06,0.0011542788124643,329.0000000000063
0.3,0.699999988079071,all_open,100.0,0.27209025993943214,0.2356793843209743,0.30823190645314746,8,1.0,1.0817379000363157e-06,0.0019853468984365,691.0000000000886
0.3,0.699999988079071,all_open,300.0,0.24584207497537136,0.2100542970001697,0.28957754601724445,8,1.0,1.0716276026758645e-06,0.0019959370838478,2045.999999999235
